fixture_id,id,type_id,participant_id,data_value,location
468,22501328,52,13,2,away
468,22501327,52,33,2,home
486,17278081,1605,16,54,home
486,17278082,34,26,3,away
486,17278095,45,16,55,home
486,17278097,45,26,45,away
486,17278122,1605,26,33,away
486,17278125,34,16,4,home
486,52391006,84,26,2,away
486,52391004,84,16,1,home
518,17278146,45,2,62,home
518,17278150,45,22,38,away
518,17278152,1605,2,37,home
518,17278156,34,22,3,away
518,17278200,1605,22,38,away
518,17278207,34,2,6,home
518,52391011,84,22,1,away
518,52391007,84,2,0,home
526,22501333,52,15,0,home
526,22501334,52,8,1,away
528,22501330,52,33,1,home
528,22501329,52,47,1,away
549,22501332,52,8,2,home
549,22501331,52,9,2,away
542,17278147,1605,22,33,home
542,17278149,34,17,4,away
542,17278173,45,22,56,home
542,17278176,45,17,44,away
542,17278219,1605,17,33,away
542,17278226,34,22,7,home
542,52391005,84,17,0,away
542,52391003,84,22,1,home
551,22501335,52,69,0,home
551,22501336,52,13,0,away
554,22501340,52,3,3,home
554,22501339,52,23,0,away
575,22501337,52,13,0,away
575,22501338,52,10,2,home
585,21620049,52,14,2,home
585,21620124,52,51,0,away
585,21620111,45,14,65,home
585,21620135,34,51,1,away
585,21620025,34,14,10,home
585,21620177,45,51,35,away
585,52391010,84,51,2,away
585,52391008,84,14,1,home
589,21664241,34,20,2,away
589,21664149,45,15,53,home
589,21664281,45,20,47,away
589,21664181,34,15,4,home
589,22501341,52,20,2,away
589,22501342,52,15,1,home
589,52391015,84,20,4,away
589,52391018,84,15,1,home
593,21664240,45,11,54,home
593,21664214,34,11,4,home
593,21664278,45,10,46,away
593,21664249,34,10,5,away
593,22501343,52,11,1,home
593,22501344,52,10,1,away
593,52391013,84,11,0,home
593,52391016,84,10,1,away
597,21664140,34,22,6,home
597,21664216,52,69,1,away
597,21664123,45,22,49,home
597,21664155,52,22,1,home
597,21664268,45,69,51,away
597,21664228,34,69,2,away
597,52391019,84,22,1,home
597,52391021,84,69,2,away
602,21620172,34,26,2,home
602,21620129,45,26,44,home
602,21620199,34,9,4,away
602,21620220,45,9,56,away
602,52391014,84,26,1,home
602,52391017,84,9,1,away
606,21620123,45,3,30,home
606,21620040,34,3,6,home
606,21620178,45,19,70,away
606,21620137,34,19,6,away
606,22501345,52,19,3,away
606,22501346,52,3,1,home
606,52391020,84,3,1,home
606,52391023,84,19,2,away
609,22501347,52,30,0,away
609,22501348,52,15,2,home
610,21620190,45,33,30,away
610,21620086,34,6,8,home
610,21620034,45,6,70,home
610,21620153,34,33,1,away
610,22501350,52,6,2,home
610,22501349,52,33,0,away
610,52391026,84,33,3,away
610,52391025,84,6,1,home
615,21620140,34,18,7,away
615,21619967,45,13,40,home
615,21620191,45,18,60,away
615,21620050,34,13,5,home
615,22501352,52,13,1,home
615,22501351,52,18,0,away
615,52391022,84,13,0,home
615,52391024,84,18,4,away
620,21620095,45,65,59,home
620,21620036,52,1,0,away
620,21620181,45,1,41,away
620,21620114,52,65,0,home
620,21620011,34,65,10,home
620,21620128,34,1,5,away
620,52391034,84,1,3,away
620,52391031,84,65,1,home
624,21620170,45,8,43,away
624,21620002,34,30,3,home
624,21620102,34,8,7,away
624,21620073,45,30,57,home
624,22501354,52,8,2,away
624,22501353,52,30,2,home
624,52391030,84,8,3,away
624,52391028,84,30,2,home
630,21620051,34,15,4,away
630,21619952,34,33,7,home
630,21619870,45,33,62,home
630,21620142,45,15,38,away
630,22501355,52,33,0,home
630,22501356,52,15,1,away
630,52391029,84,15,0,away
630,52391027,84,33,1,home
635,21619777,45,8,57,home
635,21619882,34,8,6,home
635,21619998,34,65,6,away
635,21620116,45,65,43,away
635,52391033,84,8,0,home
635,52391035,84,65,1,away
641,21664260,34,22,3,away
641,21664250,45,20,60,home
641,21664285,45,22,40,away
641,21664226,34,20,3,home
641,22501358,52,22,3,away
641,22501360,52,20,2,home
641,52391032,84,20,1,home
641,52391036,84,22,1,away
640,17278220,34,25,6,away
640,17278225,1605,13,25,home
640,17278243,45,13,46,home
640,17278247,45,25,54,away
640,17278290,1605,25,33,away
640,17278296,34,13,0,home
640,52391042,84,13,2,home
640,52391044,84,25,2,away
647,21664212,45,10,55,home
647,21664263,45,3,45,away
647,21664225,34,3,6,away
647,21664184,34,10,5,home
647,22501359,52,3,0,away
647,22501357,52,10,3,home
647,52391041,84,3,2,away
647,52391037,84,10,0,home
652,21664204,34,13,5,away
652,21664248,45,13,53,away
652,21664156,34,1,5,home
652,21664191,45,1,47,home
652,22501362,52,13,3,away
652,22501364,52,1,2,home
652,52391038,84,1,3,home
652,52391040,84,13,1,away
657,21620007,45,18,65,home
657,21620159,45,11,35,away
657,21620033,52,18,2,home
657,21619890,34,18,13,home
657,21619924,52,11,0,away
657,21620062,34,11,3,away
656,22501361,52,26,0,away
656,22501363,52,18,1,home
664,21619802,45,19,51,home
664,21619885,34,19,6,home
664,21620105,45,26,49,away
664,21620000,34,26,7,away
664,22501366,52,19,3,home
664,22501365,52,26,1,away
